'NOEMPLEADO','PATERNO','MATERNO','NOMBRE','SEXO','FECHANACIMIENTO','FECHAINGRESO','TIENDA','COLONIA','FREGISTRO'
1524,'ARRATIA','RUIZ','CUAUHTEMOC','M',20/02/68,04/11/14,234,7868,
1525,'OLVERA','PALACIO','MARICELA','F',05/10/92,23/01/03,33,7768,
1526,'ROMERO','HERNANDEZ','ANA','F',22/06/86,21/08/01,10,7844,
1527,'NEGRETE','MORALES','ORALIA','F',14/07/60,17/07/03,357,9024,
1528,'SORIA','MORA','JOSU','M',31/07/82,26/01/05,239,9379,
1529,'PASTOR','MATAMOROS','ISRAEL','M',17/06/94,24/05/03,292,7172,
1530,'ORTA','MARO','VICENTE','M',08/03/86,11/07/01,205,9375,
1531,'GALLARDO','GUTIERREZ','ULISES','M',05/11/89,03/11/97,201,7837,
1532,'DELGADO','DE LA FUENTE','PAOLA','F',31/07/91,19/07/16,15,9699,
1533,'MARTIN','VAZQUEZ','GUILLERMO','M',06/03/75,12/02/03,180,9035,
1534,'ALDAY','DIAZ','SOFIA','F',26/05/76,13/11/98,339,7558,
1535,'GONZALEZ','DOMINGUEZ','ERICK','M',02/03/87,11/07/01,205,7852,
1536,'DIAZ','FERNANDEZ','DALIA','F',07/08/78,26/07/18,101,9047,
1537,'PIZARRO','SORIANAO','ALFONSO','M',03/08/84,09/11/06,269,7571,
1538,'LEDEZMA','ALARCON','DANIELA','F',10/08/77,06/10/10,263,7195,
1539,'MARTIN','LEYVA','PAULA','F',21/09/75,22/07/12,179,7343,
1540,'QUINTERO','VELAZQUEZ','AURELIANO','M',13/04/88,23/02/17,58,7367,
1541,'GALLARDO','ASTORGA','CANDIDO','M',06/11/67,12/02/03,180,7595,
1542,'BRAVO','FUERTES','ESPERANZA','F',11/12/89,18/01/17,369,7754,
1543,'CAMACHO','MORALES','VICTOR MANUEL','M',28/03/85,02/10/17,150,9014,
1544,'AGUILAR','BRAVO','LAURA','F',29/08/72,04/11/14,234,7999,
1545,'VERDIRAMEN','PIÑEYRO','REYES','M',27/05/90,23/02/14,57,7377,
1546,'CASIO','RAMIREZ','ADOLFO','M',30/10/93,30/08/98,146,9749,
1547,'PEREZ','ZURITA','ROMAN','M',22/03/71,01/10/05,266,7835,
1548,'PRIETO','RODRIGUEZ','SARA','F',19/04/82,06/01/05,118,8016,
1549,'CONTRERAS','GARCIA','GUILLERMO','M',09/05/94,24/01/17,247,9723,
1550,'HERRERO','FLORES','EMMA','F',20/03/73,21/06/10,214,7580,
1551,'RAMOS','URIARTE','JUNE','F',18/08/71,03/11/09,41,7757,
1552,'ALLER','CASTILLA','JOAN','M',09/03/95,25/12/16,73,7150,
1553,'ROJAS','ALARCON','JOSE','M',28/11/91,08/08/07,289,6963,
1554,'GAMIZ','VALDERRAMA','JAIME','M',14/02/66,26/02/12,307,7325,
1555,'SAUCEDO','LEDEZMA','AURELIANO','M',30/09/63,24/09/10,141,7768,
1556,'CARRILLO','NAVARRETE','CARLOS','M',19/02/82,01/04/16,381,9729,
1557,'JIMENEZ','SAENZ','GARAZI','F',11/12/70,18/11/00,135,7169,
1558,'MARTIN','GUTIERREZ','JACOBO','M',12/01/89,21/10/17,22,7540,
1559,'MARISCAL','MORAN','LUIS MIGUEL','M',06/11/71,25/08/13,204,7337,
1560,'CANO','ULLOA','ANDREA','F',21/06/66,26/07/03,55,7149,
1561,'PELUFO','SANTOS','AITOR','M',09/06/91,23/02/17,58,7336,
1562,'ORTIZ','ESPINOZA','URIEL','M',28/11/82,01/04/16,381,8029,
1563,'ARRATIA','DEL BOSQUE','ADEI','M',08/12/79,10/05/01,222,7369,
1564,'ALVAREZ','HERRERO','ALFREDO','M',25/10/85,22/10/98,36,7534,
1565,'LLAMAZARES','MOYA','IMANOL','M',23/02/89,06/09/08,273,9335,
1566,'RAMOS','FERRER','GAIZKA','M',19/12/69,29/05/07,166,9381,
1567,'ESTEBAN','NUÑEZ','CECILIO','M',07/02/63,25/10/98,11,8049,
1568,'COSIO','CABRERA','ERNESTINA','F',26/08/83,26/03/17,333,9363,
1569,'DE LA GARZA','DE LA GARZA','AMPARO','F',20/07/79,14/02/16,326,9050,
1570,'CALVO','DOMINGUEZ','ADRIANA','F',17/06/80,10/02/02,338,9023,
1571,'CARRASCO','CABALLERO','ARACELI','F',28/09/65,30/04/06,7,9729,
1572,'NAVARRO','ALLER','PORFIRIO','M',12/08/94,27/08/00,155,9383,
1573,'PEREZ','SANCHEZ','AIMAR','M',25/10/94,10/01/06,126,7378,
1574,'DE LA GARZA','ALLER','GILBERTO','M',25/11/95,12/04/02,103,7856,
1575,'SIFUENTES','CONTRERAS','JAVIER','M',15/05/83,16/01/17,147,7351,
1576,'JORDAN','DIEZ','ADUR','M',24/11/88,20/02/13,67,7860,
1577,'HIDALGO','CRESPO','ROSALINDA','F',20/11/85,20/02/07,207,7989,
1578,'PRADA','MORA','AIDA','F',14/12/91,19/07/03,242,8012,
1579,'JIMENEZ','RAMIREZ','MARIO','M',19/01/71,01/04/01,37,9380,
1580,'DE LA FUENTE','MORAN','HORACIO','M',05/02/81,12/06/04,140,9375,
1581,'SUAREZ','CORDERO','IAN','M',22/05/76,11/07/07,27,8050,
1582,'COLLINS','ORTA','RUBEN','M',12/12/93,29/08/00,315,9333,
1583,'ARIAS','CARRASCO','HUGO','M',13/06/62,06/01/05,118,7748,
1584,'DE LA GARZA','IGLESIAS','ISIDORO','M',11/07/80,27/03/15,256,9389,
1585,'FUENTES','UBILLOS','JOSUE','M',11/08/79,27/04/09,35,7170,
1586,'SOLER','SANTANA','RODRIGO','M',06/06/87,11/02/15,75,7605,
1587,'VEGA','COBO','MARC','M',03/09/68,05/02/99,352,7828,
1588,'HERRERA','ROBLES','YANET','F',20/02/68,01/08/08,190,7180,
1589,'GALLEGO','ALAMEDA','ELISEO','M',22/04/84,22/01/99,85,7395,
1590,'URIARTE','BLANCO','CANDIDO','M',29/09/97,12/11/03,268,7364,
1591,'HIGUERA','NUÑEZ','GUILLERMO','M',19/10/66,06/09/08,273,7977,
1592,'PIÑERA','SANCHEZ','TANIA','F',18/02/74,24/03/00,325,7754,
1593,'CASTILLA','ULLOA','GERARDO','M',09/09/95,02/08/02,267,7869,
1594,'PEREZ','VIZCARRA','VLADIMIR','M',18/12/88,12/09/13,51,9709,
1595,'CARMONA','MARTIN','BENJAMIN','M',01/09/76,03/12/09,94,6945,
1596,'DE LA FUENTE','ULLOA','FIDEL','M',11/02/62,13/12/00,159,7776,
1597,'RAMOS','FERRER','CESAR','M',17/08/85,22/12/10,257,7850,
1598,'ORTA','DOMINGUEZ','JULEN','M',18/07/61,17/10/14,350,8050,
1599,'MARTIN','SOLANO','SALOMON','M',17/11/85,16/02/12,54,9391,
1600,'GONZALEZ','DIAZ','EMMA','F',12/11/61,16/08/09,93,9356,
1601,'CRESPO','IBAÑEZ','JOSE IGNACIO','M',16/08/78,16/01/17,147,9703,
1602,'CERVANTES','MORA','IRMA','F',25/06/72,08/03/00,40,7112,
1603,'MORAN','VARGAS','KATTALIN','F',04/10/66,19/07/16,15,7981,
1604,'JIMENEZ','ALDRETE','SILVESTRE','M',13/04/63,23/06/16,279,7834,
1605,'CASTILLA','SUAREZ','FRANCISCO JAVIER','M',12/04/92,08/07/08,64,7623,
1606,'GUERRERO','ULLOA','MAXIMINO','M',25/04/93,08/01/09,28,7578,
1607,'GOMEZ','COSIO','SANDRA','F',26/10/60,07/09/06,122,9760,
1608,'SANTILLAN','PONCE','HEGOI','M',20/11/94,30/09/98,300,9025,
1609,'ORTIZ','PEREZ','GUILLERMO','M',09/06/60,13/11/03,299,7563,
1610,'BOLAÑOS','GUERRERO','SOLEDAD','F',11/08/91,27/11/05,128,9016,
1611,'RUIZ','SANTANA','ROSALIA','F',24/02/75,20/02/07,207,8025,
1612,'RODRIGUEZ','CASTILLA','AINHIZE','F',23/04/95,22/12/10,257,9742,
1613,'MONTES','PEREZ','FELIPE DE JESUS','M',21/11/81,06/04/15,302,7377,
1614,'PALACIO','ROMAN','GEORGINA','F',24/04/97,11/03/18,241,7365,
1615,'VILALNUEVA','ALARCON','DELIA','F',18/11/66,27/07/08,6,7750,
1616,'RUBIO','BRETADO','JESSICA','F',03/03/88,31/05/07,181,9057,
1617,'MARISCAL','FUENTES','PASCUAL','M',04/08/88,14/05/03,112,7847,
1618,'SUAREZ','MONTES','MAIA','F',17/08/77,27/09/05,224,7746,
1619,'GOMEZ','RUIZ','ANTONIO','M',14/02/94,26/07/18,101,7751,
1620,'CERVANTES','HIGUERA','GABRIEL','M',21/11/74,18/08/03,82,9391,
1621,'DE OCA','PARRA','JESUS','M',23/03/66,09/09/13,71,7122,
1622,'HERNANDEZ','PEREZ','CATALINA','F',26/10/83,28/12/07,74,7582,
1623,'ESTUDILLO','JUAREZ','SANTA','F',06/07/64,06/04/15,302,7993,
1624,'MARTIN','DIEZ','RIGOBERTO','M',29/03/76,21/04/11,371,9046,
1625,'BENITEZ','VEGA','JANET','F',08/10/75,24/01/15,248,6967,
1626,'MARIN','BERUMEN','FABIAN','M',09/01/74,03/11/13,120,9700,
1627,'CASADO','ZURITA','MARITZA','F',18/08/80,06/12/01,52,9016,
1628,'COLLINS','CERVANTES','LUCINA','F',10/04/90,01/03/13,301,7155,
1629,'MARTIN','HERRERO','JULIA','F',28/02/72,13/09/13,189,9022,
1630,'PADILLA','GOMEZ','ALVARO','M',01/02/61,23/02/17,4,6960,
1631,'ROJAS','ALVAREZ','ANGELES','F',24/05/62,06/09/18,316,6944,
1632,'PASTOR','MARIN','LORENA','F',23/08/78,11/07/01,205,8015,
1633,'VILLEGAS','FUENTES','DOMINGO','M',05/09/97,10/01/11,211,9362,
1634,'PRADA','MIRELES','TERESA','F',08/03/94,25/09/17,65,7145,
1635,'FLORES','ROBLES','JOAQUIN','M',30/10/77,08/01/04,119,9031,
1636,'PARRA','DE OCA','DULCE','F',26/07/77,09/12/03,123,9701,
1637,'GUERRERO','MORAN','FABIOLA','F',30/07/69,26/03/17,333,9373,
1638,'CABALLERO','BOLAÑOS','JUAN LUIS','M',08/08/83,17/07/07,363,9427,
1639,'VELAZQUEZ','IGLESIAS','LARA','F',19/04/62,04/03/01,136,6953,
628,'RUIZ','DEL PALACIO','ARACELY','F',25/09/66,29/09/05,184,9348,
629,'FRANCO','SANCHEZ','OMAR','M',13/12/82,14/10/16,197,9415,
630,'MALO','FERRERO','GEORGINA','F',12/04/86,17/12/05,237,9396,
631,'SARIÑANA','GONZALEZ','CLAUDIA','F',25/05/61,27/03/15,391,9744,
632,'CRESPO','NEGRETE','AINHIZE','F',22/04/75,08/01/04,119,9379,
633,'MARTIN','BENITEZ','NAIARA','F',25/01/83,14/04/07,389,7182,
634,'CRUZ','MUÑOZ','LANDER','M',08/01/72,28/12/07,74,7593,
635,'FERRER','SANTILLAN','HERNAN','M',11/08/90,17/03/99,335,9047,
1902,'ALVAREZ','MIGUELEZ','ADAN','M',12/05/74,14/09/10,165,7376,
1903,'DIAZ','VALVERDE','OLIVIA','F',19/01/68,13/09/13,189,7356,
1904,'CARRETE','URIARTE','ALEJANDRO','M',24/10/63,17/12/05,237,9346,
1905,'YESCAS','COLLINS','OLAIA','F',02/11/62,12/06/04,140,7185,
1906,'PALACIO','MARTIN','HERMELINDA','F',09/11/92,04/05/04,219,7823,
1907,'PONCE','DE LA GARZA','ESTELA','F',03/06/71,06/06/15,170,7379,
1908,'MARTIN','HIDALGO','BLANCA','F',23/04/71,03/06/01,230,7993,
1909,'ROMERO','MORA','MANUEL DE JESUS','M',14/02/98,13/11/98,339,7778,
1910,'JORDAN','GARCIA','JOEL','M',05/11/85,21/10/12,344,7172,
1911,'CASADO','ESPINOSA','NALLELY','F',06/06/88,18/02/02,149,9729,
1912,'GALLARDO','ALDAMA','JOAN','M',26/12/71,09/10/14,287,9336,
1913,'MORA','IBAÑEZ','ELOY','M',18/06/62,27/11/00,216,7553,
1914,'SANTIAGO','REYES','LUZ','F',14/09/96,16/08/12,251,7194,
1915,'LOAIZA','LOPEZ','ADRIAN','M',18/05/74,17/09/05,162,7183,
1916,'SORIANAO','ORTIZ','ALEJANDRINA','F',02/02/83,21/08/01,10,7984,
1917,'UBILLOS','MALO','TERESA','F',22/01/94,13/02/15,228,7561,
1918,'IGLESIAS','FRANCO','MARINA','F',22/09/62,26/08/18,98,8030,
1919,'VELASCO','HERNANDEZ','AGUSTIN','M',02/08/67,27/04/09,35,7353,
1920,'ALDAY','SANTILLAN','ALONSO','M',08/08/90,23/01/03,33,7196,
1921,'CONTRERAS','ESTUDILLO','AINHIZE','F',20/02/78,09/07/10,44,7360,
1922,'VILLEGAS','RODRIGUEZ','ARMANDO','M',19/09/67,03/11/97,201,9390,
1923,'ALDRETE','VAZQUEZ','ALEJANDRINA','F',26/08/77,27/11/06,104,7355,
1924,'DOMINGUEZ','NAVARRO','MICAELA','F',07/07/72,15/04/00,50,9763,
1925,'LUGO','CABRERA','KATTALIN','F',27/08/73,26/01/05,239,7605,
1926,'PARGA','FERRER','TRINIDAD','F',02/09/92,05/08/09,373,9398,
1927,'GONZALEZ','PEREZ','IRIA','F',16/09/70,12/01/01,72,6959,
1928,'PARRA','SOLER','JOKIN','M',09/02/94,10/02/02,338,7789,
1929,'GUTIERREZ','LUGO','IVAN','M',03/08/82,13/09/13,189,9047,
1930,'LLAMAZARES','LECHUGA','CANDELARIO','M',26/05/74,24/03/09,174,9720,
1931,'DOMINGUEZ','GUERRERO','ELOY','M',08/01/86,15/09/01,63,7162,
1932,'SAUCEDA','DELGADO','NAHIKARI','F',08/01/80,30/09/98,300,9423,
1933,'GARCIA','CONTRERAS','URTZI','M',17/06/83,12/09/03,144,6957,
1934,'PEREZ','SANTOS','EFRAIN','M',14/07/95,18/01/01,323,7196,
1935,'DELGADO','LOPEZ','LIER','M',22/10/85,26/07/10,100,7555,
1936,'MARRUFO','DIEZ','NOE','M',28/03/62,27/06/09,235,7772,
1937,'VARGAS','CARMONA','UDANE','F',30/06/78,10/10/06,394,7385,
1938,'BERUMEN','CARRASCO','LUCIANO','M',04/11/74,17/12/05,237,9369,
1939,'VELAZQUEZ','LEDEZMA','MARIO','M',13/10/91,05/06/05,278,9027,
1940,'ORTA','CRUZ','RAYMUNDO','M',02/02/89,05/03/10,194,7579,
1941,'RUIZ','VELASCO','RODRIGO','M',25/09/95,20/08/98,358,8014,
1942,'MIRELES','MIGUELEZ','GREGORIO','M',24/07/97,10/04/06,83,7140,
1943,'DEL PALACIO','RAMOS','UDANE','F',09/09/77,22/01/99,85,7568,
1944,'SANCHEZ','ALLER','GENOVEVA','F',15/11/80,18/01/17,369,7740,
1945,'GUTIERREZ','YESCAS','LOURDES','F',16/04/91,26/01/04,351,9336,
1946,'PIÑERA','PRADA','GENOVEVA','F',15/06/80,22/11/08,213,7400,
1947,'FUENTES','ALVAREZ','EKAIN','M',17/05/86,26/02/10,290,7192,
1948,'DEL BOSQUE','FUERTES','SOLEDAD','F',30/03/81,03/12/05,39,9041,
1949,'BARROSO','RAMOS','LANDER','M',24/07/97,12/07/00,217,7854,
1950,'ESPINOZA','BENITEZ','JAVIER','M',03/04/88,12/06/14,367,9757,
1951,'VERDIRAMEN','VEGA','ALMA','F',17/03/85,13/09/13,189,7978,
1952,'DE LA FUENTE','CASTRO','GUSTAVO','M',27/05/72,20/11/98,283,6950,
1953,'CORAL','LECHUGA','ADAM','M',08/04/69,26/03/17,333,7612,
1954,'UBILLOS','GALLEGO','PABLO','M',26/05/69,10/02/02,338,7137,
1955,'DOMINGUEZ','MORA','AGER','M',05/08/90,08/12/97,167,6958,
1956,'SANCHEZ','BRAVO','ITZEL','F',26/09/86,17/12/05,237,7586,
1957,'AGUILAR','ANDRADE','NICOLÁS','M',14/11/94,08/07/08,64,9735,
1958,'CORAL','COLLINS','JULIO','M',08/08/83,07/05/18,245,9030,
1959,'CARRASCO','CONTRERAS','LORENZO','M',19/11/74,25/10/00,210,7128,
1960,'NAVARRETE','PARRA','ADEI','M',30/03/95,01/04/01,37,7767,
1961,'BUENO','SORIANAO','ASIER','M',21/09/63,26/10/01,264,9378,
1962,'NUÑEZ','NAVARRO','ELISA','F',05/02/71,20/03/12,113,9362,
1963,'HERNANDEZ','BRAVO','ANNE','F',18/12/97,02/08/02,267,8051,
1964,'BOLAÑOS','SORIA','EMILIO','M',28/11/96,03/12/09,260,7849,
1965,'RAMOS','FERRERO','JUAN FRANCISCO','M',14/03/87,05/02/99,352,9071,
1966,'ESPINOZA','PIÑA','EUSEBIO','M',18/01/69,06/04/18,90,9391,
1967,'DELGADO','CORDERO','EVELIA','F',02/10/94,19/11/00,21,9396,
1968,'JIMENEZ','FUERTES','MARCELO','M',04/07/66,01/03/13,301,8034,
1969,'SIFUENTES','GOMEZ','GABRIEL','M',22/04/96,05/09/13,272,9378,
1970,'GONZALEZ','HERNANDEZ','DELIA','F',25/08/63,12/10/14,324,7157,
1971,'GALLARDO','MOYA','IRAITZ','M',15/04/78,09/04/01,229,7772,
1972,'FERNANDEZ','PEREZ','SARA','F',05/12/82,14/03/02,68,9412,
1973,'HIDALGO','PEREZ','GABINO','M',28/06/61,02/03/17,336,7367,
1974,'CASTILLA','VALDEZ','ARACELY','F',14/03/62,07/07/09,276,7801,
1975,'CALVO','MORA','JOSE DE JESUS','M',17/06/79,01/02/15,244,7112,
1976,'ANDRADE','MIRELES','DAVID','M',11/02/70,22/12/10,257,7155,
1977,'MORA','PALACIO','FLORENCIO','M',02/05/91,07/03/14,277,7976,
1978,'GUIJARDO','ORTIZ','MARTINA','F',25/11/71,21/04/11,371,7990,
1979,'COLLINS','MARO','SARA','F',18/07/95,24/05/03,292,9042,
1980,'PEYRO','CALVO','RAMON','M',19/04/96,02/08/02,267,7756,
1981,'JUAREZ','RUIZ','JUAN ANTONIO','M',07/05/88,20/04/99,385,9361,
1982,'ALVARADO','PEREZ','JAVIER','M',14/09/88,22/12/04,116,7568,
1983,'GUERRERO','CORDERO','LUCIO','M',27/11/96,09/11/06,269,7819,
1984,'GARRIDO','GURROLA','JUAN ANTONIO','M',09/05/86,22/01/99,85,7373,
1985,'UBILLOS','RAMOS','FELIPE DE JESUS','M',27/11/67,18/01/01,323,7862,
1986,'FUENTES','GALLARDO','MAGDALENA','F',29/03/97,07/09/06,122,9372,
1987,'VIZCARRA','DELGADO','JAIME','M',25/11/83,27/03/17,188,9731,
1988,'NAVARRETE','OCAÑA','SEBASTIAN','M',24/01/66,08/03/98,95,7380,
1989,'MACIAS','LOZANO','PASCUAL','M',09/09/77,10/01/11,211,7864,
1990,'DIAZ','NAVARRETE','PAULINA','F',21/09/91,18/06/08,176,7777,
1991,'BAÑALES','LINARES','LIHER','M',24/01/84,23/11/08,102,7381,
1992,'IGLESIAS','PASTOR','ABIGAIL','F',12/10/85,31/12/08,254,9351,
1993,'MORA','SUAREZ','GREGORIO','M',29/07/69,06/01/05,118,7834,
1994,'SOLANO','PEREZ','ISABEL','M',16/10/63,20/02/01,388,7751,
1995,'COTA','ALLER','GORKA','M',07/06/91,25/10/12,107,7158,
1996,'SORIANAO','PIZARRO','AITANA','F',22/06/64,17/03/99,335,7341,
1997,'PRIETO','PRIETO','ANDREA','F',15/06/76,22/12/99,79,7332,
1998,'GALLEGO','MORAN','ELVIRA','F',05/08/80,26/08/18,98,7582,
1999,'CARRASCO','GONZALEZ','ARACELY','F',21/10/66,02/03/12,18,8002,
2000,'VEGA','ALAMEDA','DARIO','M',26/04/73,08/07/08,64,9754,
2001,'BOLAÑOS','SANCHEZ','LETICIA','F',29/06/81,27/03/17,188,7152,
2002,'CASTRO','FIDALGO','JUAN MANUEL','M',01/04/68,10/04/06,83,9071,
2003,'MAYAGOITIA','VIDAL','SEBASTIAN','M',04/10/62,06/12/01,52,7845,
2004,'GONZALEZ','BORRERO','INES','F',05/04/76,24/01/17,247,7360,
2005,'ALLER','LOPEZ','OIHAN','M',09/03/67,07/02/03,327,7771,
2006,'CAMPOS','ASTORGA','AURORA','F',02/07/98,22/04/18,305,7383,
2007,'PRADA','JORDAN','DORA','F',14/09/63,24/01/15,248,7806,
2008,'AGUILAR','FRANCO','CONSTANTINO','M',10/02/90,01/04/06,138,9739,
2009,'CANO','SANCHEZ','RUTH','F',09/03/72,12/04/02,103,7373,
2010,'ALONSO','LEDEZMA','SUSANA','F',24/05/91,19/07/07,223,7365,
2011,'ALVAREZ','SUAREZ','MARTA','F',18/06/81,28/01/16,362,7354,
2012,'ROJAS','REDONDO','LEOPOLDO','M',07/10/94,17/07/03,357,7783,
2013,'CORDERO','VIDAL','JOSE ANTONIO','M',14/07/95,07/07/13,183,7764,
2014,'MARTINEZ','MAYAGOITIA','JON','M',30/06/92,12/06/14,367,7197,
2015,'CANO','BERUMEN','AMALIA','F',08/12/94,27/03/13,294,9745,
2016,'MARIN','GUTIERREZ','ENARA','F',10/03/65,16/08/12,209,9041,
2017,'CANO','FUERTES','JULIA','F',12/02/68,13/08/09,12,7762,
2018,'VELARDE','LOAIZA','JULIO','M',29/12/79,13/11/03,299,7755,
1640,'VILALNUEVA','VARELA','YANET','F',14/04/64,29/08/00,379,7412,
1641,'GALLARDO','CAMACHO','MANUEL','M',08/02/86,01/02/15,244,7413,
1642,'MARIN','SANCHEZ','CONSUELO','F',26/01/80,18/11/99,246,7180,
1643,'MATAMOROS','DELGADO','DIEGO','M',04/03/64,07/03/14,277,9360,
1644,'SANTIAGO','GUERRERO','MARTIN','M',19/10/79,04/02/13,314,7859,
1645,'JIMENEZ','BOLAÑOS','MANUELA','F',16/06/86,09/11/06,269,9383,
1646,'ROJAS','NUÑEZ','JOSE RAMON','M',03/04/90,07/09/16,56,7791,
1647,'DEL PRADO','YESCAS','HERMELINDA','F',02/10/71,09/09/13,71,9409,
1648,'GUIJARDO','ROJAS','ALBERTO','M',01/11/95,11/11/10,392,7815,
1649,'DIEZ','MORALES','IKER','M',02/03/79,23/08/18,360,7527,
1650,'ORTEGA','GOMEZ','ERLANTZ','M',17/09/83,18/11/99,246,9759,
1651,'MARTIN','GURROLA','ADELA','F',01/04/73,08/07/02,152,7976,
1652,'CASTILLA','CRESPO','LEO','M',16/08/97,23/01/03,33,9750,
1653,'SANTANA','SOLIS','OINATZ','M',26/02/77,27/09/12,375,7836,
1654,'MIRELES','MORENO','MANUEL','M',12/04/96,23/01/03,33,7823,
1655,'HERRERA','MARIN','DELFINO','M',23/03/77,29/05/07,166,9403,
1656,'MORA','MENDEZ','HEGOI','M',23/04/62,30/05/07,280,7365,
1657,'CARRASCO','CASADO','LIBE','F',07/03/80,21/08/08,78,7987,
1658,'ALARCON','CARRASCO','LIZBETH','F',08/11/62,16/02/12,54,7108,
1659,'RAMOS','FERRERO','JORDI','M',25/06/95,04/02/13,314,9071,
1660,'GALLEGO','CORAL','LEIRE','F',13/08/80,30/09/98,300,9721,
1661,'FUENTES','VIZCARRA','MARIO','M',23/07/74,07/11/17,66,7585,
1662,'URIARTE','JORDAN','BRENDA','F',01/05/84,27/11/05,128,8021,
1663,'FUERTES','SANCHEZ','ERIK','M',12/04/92,05/03/10,194,9419,
1664,'VILALNUEVA','VIZCARRA','IZADI','F',26/01/74,09/02/13,345,7860,
1665,'MARO','SORIA','MARIA DE LOURDES','F',24/03/89,21/11/09,258,7788,
1666,'CASTRO','REDONDO','ROGER','M',18/04/60,10/07/17,19,7557,
1667,'ROBLES','SAENZ','ANDREA','F',05/10/68,07/05/11,195,7369,
1668,'COSIO','REYES','ROLANDO','M',27/11/76,17/11/03,160,7867,
1669,'VANEGAS','MORA','ANGELES','F',06/12/97,12/02/03,180,6956,
1670,'DOMINGUEZ','SANTOS','AGUSTIN','M',21/03/63,26/12/06,199,7986,
1671,'PARGA','GIL','ANGELA','F',20/06/63,19/07/16,15,9024,
1672,'FERRERO','IGLESIAS','FORTINO','M',09/04/74,18/12/00,153,7803,
1673,'URBINA','GOMEZ','GUILLERMO','M',25/03/66,09/11/06,269,7181,
1674,'CAMPOS','PEREZ','JANET','F',10/09/85,09/11/06,269,9697,
1675,'DURAN','PRIETO','ADRIAN','M',29/06/71,22/10/98,36,8037,
1676,'CRUZ','PARRA','BERNARDINO','M',23/07/69,16/01/17,147,9027,
1677,'MIGUELEZ','ARIAS','ERIKA','F',06/01/66,22/12/99,79,7372,
1678,'VIZCARRA','DOMINGUEZ','MARTINA','F',16/02/67,07/11/17,66,6951,
1679,'IBAÑEZ','FUERTES','ABEL','M',15/01/81,22/02/01,215,7377,
1680,'CARRASCO','GOMEZ','MARIA DEL CARMEN','F',28/03/86,09/10/14,287,7156,
1681,'SOLIS','RAMOS','ROSAURA','F',28/06/88,11/04/05,88,9015,
1682,'GONZALEZ','MAYAGOITIA','ROSARIO','F',18/08/69,05/09/07,236,9752,
1683,'DEL PALACIO','MARTIN','ERIKA','F',09/08/88,28/05/13,196,9032,
1684,'COLLINS','ORTIZ','ISELA','F',03/12/77,31/12/11,317,7992,
1685,'VILALNUEVA','LOAIZA','CESAR','M',09/04/75,26/10/14,361,7621,
1686,'DIAZ','VEGA','TOMASA','F',11/12/77,08/05/12,312,7747,
1687,'DE OCA','RUIZ','AZUCENA','F',22/08/85,08/12/97,167,7383,
1688,'NEGRETE','MORA','ENRIQUE','M',30/05/96,24/01/15,248,7123,
1689,'VAZQUEZ','PADILLA','KAREN','F',10/05/90,14/02/06,366,7411,
1690,'IZA','DOMINGUEZ','ELOISA','F',21/09/94,23/08/18,360,7399,
1691,'ALLER','GOMEZ','JOSU','M',22/02/82,17/09/05,162,7584,
1692,'PALACIOS','GUIJARDO','DANIEL','M',04/06/74,12/06/14,367,7527,
1693,'ALMEIDA','NEVAREZ','HODEI','M',02/07/78,02/03/17,336,7389,
1694,'HERREDA','HERRERO','AURELIO','M',19/08/77,13/07/03,158,7167,
1695,'CONTRERAS','ANDRADE','CONSTANTINO','M',16/04/78,18/01/13,81,9025,
1696,'LINARES','GIMENEZ','IBON','M',21/05/90,22/10/98,36,7143,
1697,'MONTES','ROJAS','CLARA','F',30/03/71,11/04/04,240,7391,
1698,'HERNANDEZ','GARCIA','ROSAURA','F',27/11/86,27/08/00,155,9350,
1699,'BRAVO','CORAL','VICTOR MANUEL','M',03/12/77,08/12/97,167,7117,
1700,'CARRASCO','SUAREZ','SALVADOR','M',12/04/80,26/07/03,55,7351,
1701,'RUBIO','DEL TORO','LUIS MIGUEL','M',01/06/66,08/08/07,289,7542,
1702,'GIL','MONTES','MINERVA','F',03/01/89,27/09/00,274,7595,
1703,'LOPEZ','MARRUFO','VLADIMIR','M',13/07/97,18/05/13,296,9073,
1704,'HERRERA','NUÑEZ','YADIRA','F',26/03/88,03/07/18,175,9733,
1705,'GARRIDO','VICENTE','FRANCISCO','M',18/11/81,28/10/97,77,9696,
1706,'FUENTES','MARTIN','FERNANDO','M',27/10/76,16/08/09,93,9762,
1707,'PRIETO','CANO','UNAI','M',05/02/79,27/11/05,128,7861,
1708,'ROBLES','BERUMEN','MAURICIO','M',11/05/90,06/12/02,337,7184,
1709,'PIZARRO','PEREZ','ULISES','M',03/03/74,03/12/11,16,7836,
1710,'HIDALGO','LUNA','MANUEL','M',03/05/70,09/04/01,229,7357,
1711,'ALDAMA','REYES','CARMEN','M',06/10/72,21/09/15,303,7801,
1712,'ARIAS','DOMINGUEZ','GABRIELA','F',26/11/89,01/10/00,202,9072,
1713,'ARIAS','DE LA GARZA','GUADALUPE','M',26/02/83,11/01/02,354,7168,
1714,'CARMONA','VALDERRAMA','ADRIANA','F',25/06/64,14/10/10,156,9058,
1715,'COLLINS','MARCOS','IRAIA','F',11/08/79,21/08/13,137,9709,
1716,'MARQUEZ','GIL','SALVADOR','M',04/12/66,16/08/09,93,7333,
